;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
34;Программист 1С;Ижевск;50000.0;85000.0;ИТ Консалтинг;2019-10-11T08:26:43+0300;0;0;Полный день;Полная занятость;"В данный момент мы расширяем штат программистов в Ижевске! Наша компания занимается автоматизацией розничной торговли и производственных предприятий. Обязанности:  Разрабатывать/дорабатывать объекты, модули и подсистемы на платформе 1С: Предприятие.8; Оптимизировать производительность разрабатываемых и внедряемых ИС;  Требования:  Имеющийся навык программирования в среде 1С; Знание типовых конфигураций 1С; Знание предметных областей учета: бухгалтерского, управленческого, производственного, налогового, торговой деятельности; Знание СКД, БСП и управляемых форм; Знание конфигурации 1С:Конвертация данных ; Наличие сертификатов 1С приветствуется, но не обязательно;  Условия:   График работы 5\2 с 9-18 часов (возможна работа по индивидуальному графику)   Рядом с офисом парковка, заправка.  ";   График работы 5\2 с 9-18 часов (возможна работа по индивидуальному графику)   Рядом с офисом парковка, заправка.  ;"Имеющийся навык программирования в среде 1С. Знание типовых конфигураций &quot;1С&quot;. Знание предметных областей учета: бухгалтерского, управленческого, производственного, налогового...";Разрабатывать/дорабатывать объекты, модули и подсистемы на платформе 1С: Предприятие.8. Оптимизировать производительность разрабатываемых и внедряемых ИС.;"1С программирование; 1С: Бухгалтерия; 1С: Предприятие 8; 1С: Управление Производственным Предприятием; 1С: Документооборот; Разработка ПО"
38;Программист 1С;Тюмень;75000.0;85000.0;Взлет-Тюмень;2019-10-10T14:06:04+0300;1;3;Полный день;Полная занятость;"Взлет-Тюмень представительство АО ВЗЛЕТ (г. Санкт-Петербург) в УРФО - ведущего российского предприятия в области разработки, производства и внедрения приборов учета расхода жидкостей, тепловой энергии и регулирования тепловодоресурсов. «Взлет-Тюмень» это проектно-строительное предприятие, специализирующееся на проектировании тепловых сетей, капитальном ремонте, реконструкции объектов теплоснабжения (ЦТП, ПНС, вспомогательные объекты), водоснабжения (СПД, Водозаборные узлы) и узлов учета. В г. Тюмень предприятие «Взлет-Тюмень» разрабатывает и производит изделия полной заводской готовности: автоматизированные тепловые пункты, насосные станции, шкафы электроуправления, готовые решения в блок-боксах. В связи с расширением штата мы рады пригласить к нам разработчика 1С с желанием работать и развиваться в нашей компании.   Обязанности:  Сопровождение, доработка, администрирование конфигураций на платформе 1С: Предприятие (КА, ДО, ERP) Разработка нового и изменение существующего функционала конфигураций. Интеграция 1С с 1С и с внешними системами. Консультирование пользователей при возникновении задач и рабочих вопросов.    Требования:  Знание языка запросов. Опыт разработки в клиент-серверном режиме, умение работать с обычными и управляемыми формами. Опыт работы с СКД. Опыт работы с типовыми конфигурациями 1:С. Знание механизмов интеграции 1С.  Условия:  работа в стабильно развивающейся компании в г. Тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с ТК РФ; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.     ";"  работа в стабильно развивающейся компании в г. Тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с ТК РФ; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.     ";Знание языка запросов. Опыт разработки в клиент-серверном режиме, умение работать с обычными и управляемыми формами. Опыт работы с СКД. ;Сопровождение, доработка, администрирование конфигураций на платформе 1С: Предприятие (КА, ДО, ERP). Разработка нового и изменение существующего функционала конфигураций. ;"1С: Предприятие 8; 1С: Бухгалтерия; 1С: Комплексная автоматизация; Работа в команде; Ориентация на результат"
35;Веб-программист/Backend-разработчик;Тюмень;35000.0;80000.0;Ремарк;2019-10-11T08:25:44+0300;1;3;Полный день;Полная занятость;"Задачи Программирование веб-сайтов: интернет-магазины, корпоративные сайты. Поддержка и создание крупных проектов, командная работа с дизайнером, менеджерами и другими программистами. В Бэкенд на 1С-Битрикс. Исключения редки, но бывают. Требования — Знание PHP на хорошем уровне — Опыт работы с чужим кодом — HTML, CSS, JavaScript на базовом уровне — Понимание работы сетевых технологий — Умение работать с Git’ом — Обучаемость и желание развиваться в сфере — Ответственность, готовность к работе в команде Приветствуется — Умение работать с Linux — Знание других языков программирования — Навыки работы с 1С-Битрикс — Опыт разработки своих проектов на PHP — Опыт коммерческой разработки Мы предлагаем — Лофт - офис в центре города — 5/2, гибкий график — Оформление по ТК РФ С нами хорошо по многим причинам:   Интересные проекты и возможность проводить эксперименты;   Планерки на открытом воздухе;   Коллектив, в котором уважают личные границы и мнение человека (если бы сами могли к себе устроиться, то сделали бы это);   Корпоративы, настольные игры и вкусняшки прилагаются.   Бонус профессионалам Готовы обсудить индивидуальные условия работы для особо опытных кандидатов.   Что делать, если не уверены в своих силах знаниях? Высылайте резюме с кратким письмом, из которого мы сможем понять ваши сильные стороны. Некоторых мы сможем принять на стажировку.   Напоследок— пара слов о «Ремарк». Работаем с 2007 года. Выполнили 300+ проектов. Есть интересные результаты. — ТОП-5 интегратор CRM в УрФО — лидер продаж 1С-Битрикс №20 в России в 2014 году; — дважды лидер продаж готовых решений 1С-Битрикс в России; — организатор более 25 семинаров в Тюмени; — команда по парусному спорту; — автор популярного в мире чат-бота в маркетплейсе Битрикс24: CRMbot; — автор сервиса Докс.Онлайн. Среди наших клиентов: застройщики ГК «ТИС», «Меридиан» «Б-72», «Сибстройсервис», «4D Development», ПСК «Дом», «ЖБИ-5», «ИССС», «СтройМир», «Отделочник-20»; сетевой ритейл «Строительный двор», «Крепыж», «Южный», «Bona Dea», «Арсенал+», «Podari-ka», «Disney», «Samsung», «LEGO», «DOCK store»; автодилер «Базис-Моторс»; агрохолдинг «Юбилейный»; ресторанный холдинг «МаксиМ», Инвестиционное агентство Тюменской области и другие проекты.";;Знание PHP на хорошем уровне. — Опыт работы с чужим кодом. — HTML, CSS, JavaScript на базовом уровне. — Понимание работы сетевых технологий. — ;Поддержка и создание крупных проектов, командная работа с дизайнером, менеджерами и другими <highlighttext>программистами</highlighttext>. В. Бэкенд на 1С-Битрикс. ;"PHP; HTML; JavaScript; MySQL; CSS; jQuery; SQL; CSS3; HTML5; 1С-Битрикс; PHP5; ООП; Bootstrap"
6;Программист 1С;Тюмень;50000.0;80000.0;ГК ТюмБИТ;2019-10-08T08:07:02+0300;0;0;Удаленная работа;Полная занятость;"Задачи:  Участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ООО 1С-Медицина-Регион); Программирование в среде 1С: Предприятие 8; Работа с техническими заданиями через консультантов 1С, т.е. без общения с клиентами; Выполнение сложных и интересных задач  Мы ищем сотрудника с:  Образованием: высшее/ неполное высшее Знанием основ программирования на платформе 1С Стремлением к профессиональному росту Высокой работоспособностью и стрессоустойчивостью Умением работать в коллективе  Мы предлагаем:  Интересные и разносторонние задачи. Стабильная‚ официальная‚ конкурентоспособная заработная плата. Пятидневная рабочая неделя, рабочий день: 9:00-18:00 Оформление по ТК РФ. Уютный офис в центре города. Молодой и дружный коллектив из профессионалов своего дела; Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия ";"  Интересные и разносторонние задачи. Стабильная‚ официальная‚ конкурентоспособная заработная плата. Пятидневная рабочая неделя, рабочий день: 9:00-18:00 Оформление по ТК РФ. Уютный офис в центре города. Молодой и дружный коллектив из профессионалов своего дела; Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия ";Образованием: высшее/ неполное высшее. Знанием основ программирования на платформе 1С. Стремлением к профессиональному росту. Высокой работоспособностью и стрессоустойчивостью. ;Участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ООО 1С-Медицина-Регион). Программирование в среде 1С...;"1С программирование; 1С: Предприятие 8; 1С: Медицина"
41;Разработчик бизнес-решений;Тюмень;50000.0;80000.0;Систем-Консалт;2019-10-11T10:14:49+0300;1;3;Полный день;Полная занятость;"Задачи в работе:  разработка бизнес-решений на базе системы DIRECTUM и DirectumRX на проектах внедрения и сопровождения; проектирование архитектуры заказных систем (анализ функциональных и не функциональных требований, анализ архитектуры существующих информационных систем заказчика); разработка интеграции с информационными системами заказчика; разработка механизмов миграции данных из сторонних информационных систем.  Требования к соискателю:  глубокое понимание объектно-ориентированного программирования; опыт разработки ПО на Delphi / .NET / C#; опыт работы с базами данных; опыт проектирования приложений/информационных систем; умение анализировать требования и разбираться в потребностях заказчика.  Приветствуются следующие знания и навыки:  опыт разработки на JavaScript; опыт работы с MS SQL Server, PostgreSQL; разработка и сопровождение систем документооборота либо других информационных систем предприятия; опыт работы c предметно-ориентированными средами разработки (1С, Microsoft Dynamics, DIRECTUM); знание основ построения бизнес-процессов предприятий.  Работая у нас, вы получите:  стабильную заработную плату (уровень обсуждается с финальными кандидатами); работу в масштабных долгосрочных проектах с крупными клиентами, интересные сложные задачи в области искусственного интеллекта; возможны командировки по Тюменской области и России; обучение за счет компании, сертификация, возможность постоянно расти и развиваться; наличие наставника в период адаптации; возможность прокачаться в различных бизнес-областях; график работы 5/2 с 09:00-18:00; официальное трудоустройство по ТК РФ; офис расположен в центре города, удобная транспортная развязка; отличную команду профессионалов, с которыми хочется двигаться только вперёд! ";;Глубокое понимание объектно-ориентированного программирования. Опыт разработки ПО на Delphi / .NET / C#. Опыт работы с базами данных. Опыт проектирования приложений...;Разработка бизнес-решений на базе системы DIRECTUM и DirectumRX на проектах внедрения и сопровождения. Проектирование архитектуры заказных систем (анализ функциональных...;"C#; .NET Framework; Delphi; Работа с базами данных; PostgreSQL; MS SQL Server; Работа в команде; Проектирование"
13;Программист 1с;Ижевск;60000.0;80000.0;Колпаков Олег Иванович;2019-10-10T00:09:04+0300;1;3;Полный день;Полная занятость;Обязанности:  Написание Обработок для интеграции с другими системами через Com объекты Проектирование интерфейса 1с для складского учета Консультирование сотрудников технической поддержки по работе с программой Настройка парка серверного оборудования в рамках обеспечения требуемой производительности системы и сохранности информации. Взаимодействие с поставщиками ПО на базе 1с в части сделанного на заказ ПО.  Требования:  Опыт сопровождения ПО на 1С. Знания администрирования (Windows/Linux), сетей. Опыт работы в технической поддержке. Высокий уровень коммуникативных навыков. Способность к командной работе. Стрессоустойчивость, внимательность.  Условия:  Можно удаленно, но в режиме онлайн с появлением в Офисе по запросу не реже чем Раз в Неделю Обучения за счет компании. Крупные проекты ведутся совместно с аутсорс компаниями 1с. Чай, кофе, молоко за счет компании. ;  Можно удаленно, но в режиме онлайн с появлением в Офисе по запросу не реже чем Раз в Неделю Обучения за счет компании. Крупные проекты ведутся совместно с аутсорс компаниями 1с. Чай, кофе, молоко за счет компании. ;Опыт сопровождения ПО на 1С. Знания администрирования (Windows/Linux), сетей. Опыт работы в технической поддержке. Высокий уровень коммуникативных навыков. ;Написание Обработок для интеграции с другими системами через Com объекты. Проектирование интерфейса 1с для складского учета. Консультирование сотрудников технической...;"1С: Управление Торговлей; 1С: Предприятие 8; Оптово-розничное кассовое обслуживание; Windows Os; Пользователь ПК; 1с рарус торговый комплекс"
77;Frontend Developer;Тюмень;35000.0;70000.0;Ключевой фактор;2019-10-03T10:59:02+0300;1;3;Полный день;Полная занятость;Junior Frontend Developer / Веб-разработчик (Frontend)   Чем предстоит заниматься:  Разрабатывать frontend для веб и мобильных приложений Поддерживать frontend существующих приложений Конструктивно взаимодействовать в команде    Ты нам подходишь, если:  Имеешь базовые знания HTML, CSS, JS, JQuery, AJAX Знаешь на базовом уровне хотя-бы один из фреймворков: React / Angular / VueJS или др. Умеешь писать простой и понятный код, следуя принятой методологии Понимаешь принципы ООП Умеешь разбираться в чужом коде    Будет круто, если:  Имеешь какой-то опыт разработки frontend Владеешь каким-либо препроцессором: SASS / Stylus / PostCSS или др. Знаешь или что-то слышал о семантической разметке  Условия работы: - офис в центре города - работа в скрам-команде Сайт компании: http://kfactor.ru/;;Имеешь базовые знания HTML, CSS, JS, JQuery, AJAX. Знаешь на базовом уровне хотя-бы один из фреймворков: React / Angular / VueJS...;Разрабатывать frontend для веб и мобильных приложений. Поддерживать frontend существующих приложений. Конструктивно взаимодействовать в команде.;"HTML; CSS; Ext JS; jQuery; Ajax; AngularJS"
80;Backend Developer;Тюмень;35000.0;70000.0;Ключевой фактор;2019-10-03T10:58:55+0300;1;3;Полный день;Полная занятость;Junior Backend Developer / Веб-разработчик (Backend) Чем предстоит заниматься:  Разрабатывать backend часть для веб и мобильных приложений Поддерживать серверную часть существующих приложений Конструктивно взаимодействовать в команде  Ты нам подходишь, если:  Знаешь хотя-бы один из серверных языков (NodeJS, Python, PHP, Ruby) Умеешь писать простой и понятный код, следуя принятой методологии Понимаешь принципы ООП Умеешь разбираться в чужом коде  Будет круто, если:  Имеешь какой-то опыт разработки backend систем Знаком с какой-то системой контроля версий Работал с API внешних сервисов  Условия:  Работа в скрам-команде гибкий график, полная занятость Офис в БЦ Альянс, центр города  Сайт компании: http://kfactor.ru/;  Работа в скрам-команде гибкий график, полная занятость Офис в БЦ Альянс, центр города  Сайт компании: http://kfactor.ru/;Знаешь хотя-бы один из серверных языков (NodeJS, Python, PHP, Ruby). Умеешь писать простой и понятный код, следуя принятой методологии. ;Разрабатывать backend часть для веб и мобильных приложений. Поддерживать серверную часть существующих приложений. Конструктивно взаимодействовать в команде. Имеешь какой-то...;"Node.js; Python; PHP; Ruby; Java; C#; Django Framework; C++; MS SQL Server; SQL; Управление проектами; ООП; Ruby On Rails"
90;Программист 1С;Тюмень;50000.0;70000.0;ТД Русойл;2019-10-01T12:00:24+0300;6;0;Полный день;Полная занятость;"Торговый дом “РУСОЙЛ” - крупнейшая динамично развивающаяся Компания на рынке отечественных и зарубежных автотоваров Западно-Сибирского и Уральского регионов, член Союза промышленников РФ. Основанная в 1998 году, на сегодняшний день Компания преобразована в Холдинг и представляет несколько направлений деятельности. Специализация деятельности – оптовые поставки товаров для автомобилей, розничная торговля (сеть магазинов АвтоСити в Тюмени и Тюменской области), производство спецжидкостей для автомобилей, продажа и сервисное обслуживание мототехники (центр МотоСити) Торговый дом “РУСОЙЛ” работает с ведущими производителями и поставщиками автотоваров в России и за рубежом.   Обязанности:  Внедрение, доработка, сопровождение информационных баз на платформе 1С:Предприятие 8 Обновление не типовых конфигураций, разработка отчетов и т.д Обновление платформы 1С    Требования:  Опыт работы с УПП, УТ, Бухгалтерия Знание СКД, Web сервисы, MS SQL Резервное копирование баз, написание скриптов    Условия:  Работа в крупной, стабильной, динамично развивающейся компании; Перспектива карьерного роста; Официальное трудоустройство согласно ТК РФ; Социальный пакет согласно ТК РФ; Достойная и своевременная заработная плата. ";"  Работа в крупной, стабильной, динамично развивающейся компании; Перспектива карьерного роста; Официальное трудоустройство согласно ТК РФ; Социальный пакет согласно ТК РФ; Достойная и своевременная заработная плата. ";Опыт работы с УПП, УТ, Бухгалтерия. Знание СКД, Web сервисы, MS SQL Резервное копирование баз, написание скриптов.;"Внедрение, доработка, сопровождение информационных баз на платформе &quot;1С:Предприятие 8&quot;. Обновление не типовых конфигураций, разработка отчетов и т.д. ";"1С программирование; MS SQL; 1С: Предприятие 8; 1С: Бухгалтерия"
54;Программист 1С;Ижевск;60000.0;70000.0;Таймас;2019-10-09T16:48:31+0300;1;3;Полный день;Полная занятость;"Обязанности: - Участие в разработке, внедрении и сопровождении решений на базе платформы 1с; - Интеграция внутренних и сторонних систем между собой; - Оптимизация работающих блоков; - Работа как по ТЗ, так и самостоятельное взаимодействие с заказчиками; - Документирование выполненных работ. Требования: - Опыт разработки с 1С 8.х от 2 лет; - Хорошее знание языка 1С, хороший прикладной опыт использования различных механизмов платформы; - Приветствуются знания и опыт работы в одной из платформ УПП/ERP, УТ, БП, CRM, а так же опыт работы с управляемыми формами; - Аналитический склад ума, внимание к деталям, умение работать как самостоятельно, так и в команде, и придерживаться стандартов и качества кода. Условия: - Полный рабочий день с 8:00 до 17:00, 5/2; - Оформление в соответствии с ТК РФ; - Уровень заработной платы будет обсуждаться на собеседовании с руководителем и зависит от профессионального уровня (60 000 - 70 000).";" - Полный рабочий день с 8:00 до 17:00, 5/2; - Оформление в соответствии с ТК РФ; - Уровень заработной платы будет обсуждаться на собеседовании с руководителем и зависит от профессионального уровня (60 000 - 70 000).";Опыт разработки с 1С 8.х от 2 лет. - Хорошее знание языка 1С, хороший прикладной опыт использования различных...;Участие в разработке, внедрении и сопровождении решений на базе платформы 1с. - Интеграция внутренних и сторонних систем между собой. - ;
